	mass D						
t	x	y	vx	vy	ax	ay	
1.885217E0	2.653971E-1	-1.555834E-1	-5.754655E-2	1.432378E-3	-5.167977E-1	1.032068E-1
1.901900E0	2.641065E-1	-1.554851E-1	-7.673158E-2	3.146051E-3	-3.137026E-1	-1.209283E-1
1.918583E0	2.628368E-1	-1.554784E-1	-6.639263E-2	-3.472096E-3	4.395265E-1	-1.174683E-1
1.935267E0	2.618912E-1	-1.556009E-1	-5.904249E-2	-2.218736E-3	2.986115E-1	1.397565E-1
1.951950E0	2.608668E-1	-1.555524E-1	-5.885609E-2	3.170095E-3	5.609512E-1	2.439152E-1
1.968633E0	2.599274E-1	-1.554951E-1	-4.139018E-2	5.035103E-3	1.003596E0	-2.379523E-1
1.985317E0	2.594857E-1	-1.553844E-1	-2.209720E-2	-2.977151E-3	1.660841E0	-5.630285E-1
2.002000E0	2.591901E-1	-1.555945E-1	9.287867E-3	-1.620908E-2	1.406026E0	7.096136E-2
2.018683E0	2.597956E-1	-1.559253E-1	3.245702E-2	-2.715242E-3	1.565578E0	5.766866E-1
2.035367E0	2.602731E-1	-1.556851E-1	5.307668E-2	9.184550E-3	1.995423E0	5.203088E-1
2.052050E0	2.615666E-1	-1.556188E-1	1.029444E-1	9.868715E-3	4.182071E0	-2.131874E-1
2.068733E0	2.637080E-1	-1.553558E-1	1.878802E-1	5.909341E-3	4.488894E0	-2.178921E-2
2.085417E0	2.678356E-1	-1.554216E-1	2.637648E-1	4.303899E-3	4.662173E0	7.755765E-1
2.102100E0	2.725089E-1	-1.552122E-1	3.321752E-1	3.267888E-2	1.418324E0	2.387263E0
2.118783E0	2.789191E-1	-1.543313E-1	3.312002E-1	8.406359E-2	-3.483783E0	2.719879E0
2.135467E0	2.835600E-1	-1.524073E-1	2.039495E-1	1.277188E-1	-6.144073E0	2.304430E0
2.152150E0	2.857243E-1	-1.500697E-1	1.147072E-1	1.575402E-1	-1.324517E0	2.020153E0
2.168833E0	2.873874E-1	-1.471507E-1	1.577696E-1	1.954127E-1	1.616901E0	2.624157E0
2.185517E0	2.909885E-1	-1.435494E-1	1.909547E-1	2.443770E-1	-7.296564E-1	2.526743E0
2.202200E0	2.937589E-1	-1.389966E-1	1.240186E-1	2.834428E-1	-2.925177E0	1.710425E0
2.218883E0	2.951266E-1	-1.340919E-1	8.453178E-2	2.995875E-1	-6.243257E-1	5.435168E-1
2.235567E0	2.965795E-1	-1.290004E-1	1.070674E-1	3.021104E-1	1.933539E0	-4.955383E-1
2.252250E0	2.986991E-1	-1.240115E-1	1.509743E-1	2.835821E-1	1.252323E0	-8.590893E-1
2.268933E0	3.016170E-1	-1.195382E-1	1.555922E-1	2.693022E-1	-9.940394E-2	-8.096461E-1
2.285617E0	3.038907E-1	-1.150258E-1	1.384189E-1	2.605303E-1	-3.754474E-1	-1.110044E0
2.302300E0	3.062355E-1	-1.108452E-1	1.456973E-1	2.319211E-1	1.555943E-1	-1.765000E0
2.318983E0	3.087521E-1	-1.072873E-1	1.455342E-1	1.996674E-1	-2.430573E-1	-1.960787E0
2.335667E0	3.110915E-1	-1.041829E-1	1.359469E-1	1.678797E-1	2.689272E-1	-2.160425E0
2.352350E0	3.132882E-1	-1.016857E-1	1.512462E-1	1.274928E-1	8.215655E-1	-2.880354E0
2.369033E0	3.161381E-1	-9.992892E-2	1.697223E-1	7.269114E-2	6.921658E-1	-3.178468E0
2.385717E0	3.189513E-1	-9.926028E-2	1.709035E-1	1.838814E-2	-2.179145E0	-4.907397E0
2.402400E0	3.218406E-1	-9.931537E-2	1.072421E-1	-8.142929E-2	8.354362E-1	-2.688648E0
2.419083E0	3.225296E-1	-1.019773E-1	1.623223E-1	-9.917303E-2	1.827918E0	-1.850991E0
2.435767E0	3.272568E-1	-1.026244E-1	2.211222E-1	-1.052785E-1	4.087317E-1	-1.928577E0
2.452450E0	3.299077E-1	-1.054901E-1	1.431430E-1	-1.887242E-1	-3.721134E0	-3.211554E0
